file_id,make,normalized_make,model,normalized_model
a4904-Duggan_081024_2201,Canon,Canon,EOS 5D,EOS 5D
a4813-20090404_at_00h13m25__MG_1266,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4851-kme_274,Nikon,Nikon,D70,D70
a4839-Duggan_090321_5908,Canon,Canon,EOS 5D,EOS 5D
a4336-09-05-17-at-15h52m34s-_MG_9211,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4877-DSC_0087,Nikon,Nikon,D70s,D70s
a4231-Duggan_080326_5786,Canon,Canon,EOS 5D,EOS 5D
a4680-_DSC0048,Nikon,Nikon,D70s,D70s
a4602-DSC_0284,Nikon,Nikon,D80,D80
a4838-_DSC0200,Nikon,Nikon,D70s,D70s
a4864-jmacdscf0536,Fujifilm,Fujifilm,S2Pro,S2Pro
a4742-Duggan_090331_6517,Canon,Canon,EOS 5D,EOS 5D
a4461-_MG_7166,Canon,Canon,EOS 5D,EOS 5D
a4237-20090417_at_18h06m01__MG_1955,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4309-DSC_0195,Nikon,Nikon,D80,D80
a4634-DSC_0335,Nikon,Nikon,D80,D80
a4910-_DSC0139,Nikon,Nikon,D70s,D70s
a4333-_DGW0255,Nikon,Nikon,D700,D700
a4278-DSC_0039,Nikon,Nikon,D80,D80
a4872-_DGW0314,Nikon,Nikon,D700,D700
a4420-DSC_0054,Nikon,Nikon,D80,D80
a4268-kme_2371,Canon,Canon,PowerShot G10,PowerShot G10
a4360-kme_0416,Sony,Sony,DSLR-A900,DSLR-A900
a4737-DSC_0089,Nikon,Nikon,D80,D80
a4397-Duggan_080819_1155,Canon,Canon,EOS 5D,EOS 5D
a4562-_MG_7033,Canon,Canon,EOS 5D,EOS 5D
a4497-kme_1003,Sony,Sony,DSLR-A900,DSLR-A900
a4679-Duggan_050710_1275,Canon,Canon,EOS 10D,EOS 10D
a4504-_DGW7893,Nikon,Nikon,D700,D700
a4972-_DSC0007,Nikon,Nikon,D70s,D70s
a4831-Duggan_090406_7270,Canon,Canon,EOS 5D,EOS 5D
a4429-20090425_at_17h03m55__MG_0419,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4772-DSC_0041,Nikon,Nikon,D80,D80
a4388-_DGW0257,Nikon,Nikon,D700,D700
a4325-_DSC0005-1,Nikon,Nikon,D70s,D70s
a4590-_DSC0115,Nikon,Nikon,D70s,D70s
a4621-IMG_4704,Canon,Canon,EOS 450D,EOS 450D
a4766-DSC_0356,Nikon,Nikon,D80,D80
a4844-kme_0393,Sony,Sony,DSLR-A900,DSLR-A900
a4404-20090519_at_22h53m01__MG_9648,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4860-Duggan_090504_8801,Canon,Canon,EOS 5D,EOS 5D
a4208-20090327_at_10h50m32__MG_0937,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4593-kme_0276,Sony,Sony,DSLR-A900,DSLR-A900
a4215-DSC_0450,Nikon,Nikon,D80,D80
a4829-_DGW7882,Nikon,Nikon,D700,D700
a4573-kme_0734,Sony,Sony,DSLR-A900,DSLR-A900
a4887-_92V6834,Canon,Canon,EOS-1D Mark III,EOS-1D Mark III
a4506-_DSC0018,Nikon,Nikon,D70s,D70s
a4238-Duggan_090320_5609,Canon,Canon,EOS 5D,EOS 5D
a4920-DSC_0020,Nikon,Nikon,D70s,D70s
a4927-_DGW0242,Nikon,Nikon,D700,D700
a4916-DSC_0069,Nikon,Nikon,D80,D80
a4658-Duggan_090201_4929,Canon,Canon,EOS 5D,EOS 5D
a4691-20090503_at_05h29m47__MG_9401,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4957-kme_00019,Sony,Sony,DSLR-A900,DSLR-A900
a4796-20090208_at_17h53m27__MG_0089,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4522-Duggan_050712_1693,Canon,Canon,EOS 10D,EOS 10D
a4781-DSC_0068,Nikon,Nikon,D80,D80
a4836-DSC_0060,Nikon,Nikon,D70s,D70s
a4269-09-05-19-at-18h33m41s-_MG_9542,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4209-kme_0486,Sony,Sony,DSLR-A900,DSLR-A900
a4967-kme_2360,Canon,Canon,PowerShot G10,PowerShot G10
a4746-_DGW9510,Nikon,Nikon,D700,D700
a4899-Duggan_090330_6257,Canon,Canon,EOS 5D,EOS 5D
a4536-DSC_0255,Nikon,Nikon,D80,D80
a4944-DSC_0431,Nikon,Nikon,D80,D80
a4968-Duggan_080819_1132,Canon,Canon,EOS 5D,EOS 5D
a4620-20090417_at_01h35m03__MG_1723,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4974-Duggan_090226_5202,Canon,Canon,EOS 5D,EOS 5D
a4718-_DGW9472,Nikon,Nikon,D700,D700
a4649-Ja_Pe-58,Leica,Panasonic,D-LUX 3,DMC-LX2
a4787-JI2E5746,Canon,Canon,EOS-1D Mark II,EOS-1D Mark II
a4694-kme_0275,Sony,Sony,DSLR-A900,DSLR-A900
a4364-kme_0867,Sony,Sony,DSLR-A900,DSLR-A900
a4617-DSC_0056-2,Nikon,Nikon,D70s,D70s
a4675-20090519_at_22h53m13__MG_9649,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4557-DSC_0477,Nikon,Nikon,D80,D80
a4826-Duggan_080821_1199,Canon,Canon,EOS 5D,EOS 5D
a4720-DSC_0022,Nikon,Nikon,D70s,D70s
a4981-kme_0548,Sony,Sony,DSLR-A900,DSLR-A900
a4559-_DSC0022,Nikon,Nikon,D70s,D70s
a4475-_DGW7819,Nikon,Nikon,D700,D700
a4672-kme_0259,Sony,Sony,DSLR-A900,DSLR-A900
a4542-Duggan_080411_6019,Canon,Canon,EOS 5D,EOS 5D
a4476-IMG_4029,Canon,Canon,EOS 450D,EOS 450D
a4367-IMG_1866,Canon,Canon,EOS 20D,EOS 20D
a4803-DSC_0017-2,Nikon,Nikon,D70s,D70s
a4715-Duggan_090503_8760,Canon,Canon,EOS 5D,EOS 5D
a4964-NKIM_MG_6936,Canon,Canon,EOS 40D,EOS 40D
a4310-DSC_0007,Nikon,Nikon,D70s,D70s
a4273-_DGW0250,Nikon,Nikon,D700,D700
a4764-kme_0243,Sony,Sony,DSLR-A900,DSLR-A900
a4248-DSC_0109,Nikon,Nikon,D80,D80
a4711-_DGW0312,Nikon,Nikon,D700,D700
a4806-Duggan_090207_4948,Canon,Canon,EOS 5D,EOS 5D
a4339-Duggan_090111_4244,Canon,Canon,EOS 5D,EOS 5D
a4768-Duggan_090330_6266,Canon,Canon,EOS 5D,EOS 5D
a4417-_DSC0039-1,Nikon,Nikon,D70s,D70s
a4697-DSC_0154,Nikon,Nikon,D80,D80
a4886-Duggan_090503_8792,Canon,Canon,EOS 5D,EOS 5D
a4724-Duggan_090319_5593,Canon,Canon,EOS 5D,EOS 5D
a4674-_DSC0089,Nikon,Nikon,D70s,D70s
a4873-kme_0564,Sony,Sony,DSLR-A900,DSLR-A900
a4271-Duggan_090227_5232,Canon,Canon,EOS 5D,EOS 5D
a4214-DSC_0267,Nikon,Nikon,D80,D80
a4499-DSC_0436,Nikon,Nikon,D80,D80
a4460-kme_1016,Sony,Sony,DSLR-A900,DSLR-A900
